"time","js.latency","js.accuracy","js.throughput","jet.latency","jet.accuracy","jet.throughput","aws.latency","aws.throughput","aws.accuracy","tcp.latency","tcp.throughput","tcp.accuracy"
65,46.7253,0.805755396,16.83526933,42.5667,0.805755396,14.79504267,37.247,12.5508,0.9728,43.9033333333333,12.3638373333333,0.972
66,44.4607,0.923076923,13.83506933,41.8556,0.923076923,14.65812533,37.675,12.9351253333333,0.973,43.7076666666667,12.961832,0.9745
67,45.0667,0.932038835,15.00564533,42.6292,0.932038835,14.17052,38.0886666666667,13.7986746666667,0.9322,43.866,13.4969066666667,0.9298
68,44.8222,0.934782609,13.96689067,41.4222,0.934782609,13.590296,38.699,16.678672,0.7933,46.1886666666667,15.441232,0.7955
69,44.3187,0.911564626,13.55281867,40.9778,0.911564626,12.723808,38.5113333333333,14.4540853333333,0.9162,46.778,15.1476346666667,0.9121
70,42.7,0.908450704,12.28204,40.1667,0.908450704,11.38962667,38.511,14.6852826666667,0.9247,45.6606666666667,14.8328693333333,0.9241
71,43.6556,0.85106383,10.762632,39.3778,0.85106383,11.66074133,37.8996666666667,14.34876,0.9296,45.3346666666667,14.365408,0.9302
72,43.4556,0.910638298,12.13998133,38.5444,0.910638298,11.485816,38.233,13.602368,0.9222,44.8656666666667,13.9465786666667,0.9222
73,42.9667,0.960960961,11.22851733,38,0.960960961,11.23586667,39.3556666666667,12.4981013333333,0.9104,43.8053333333333,13.0144933333333,0.9104
74,42.967,0.979228487,11.57102133,38.3258,0.979228487,11.11167733,38.0966666666667,11.1400106666667,0.8889,43.5543333333333,11.497176,0.8889
75,43.1778,0.974729242,10.84093067,38.2556,0.974729242,10.87386133,37.34,12.217952,0.9023,42.3463333333333,11.7628986666667,0.9023
76,43.4556,0.901234568,11.06756267,38.1461,0.901234568,12.40005333,37.1666666666667,11.2625733333333,0.9453,42.6656666666667,11.647056,0.9444
77,44.3333,0.90212766,13.252448,39.3778,0.90212766,14.927048,37.2783333333333,11.6313546666667,0.9697,42.2346666666667,11.693976,0.9714
78,46.0899,0.948571429,15.904904,41.4667,0.948571429,13.717608,36.909,11.0377573333333,0.9774,42.2223333333333,11.1068,0.9774
79,44.0989,0.917431193,12.81597333,40.0667,0.917431193,13.17786933,37.69,10.94356,0.9412,41.7336666666667,10.7899306666667,0.9383
80,43.6222,0.926108374,13.33731733,39.7079,0.926108374,13.26490933,37.7,13.2120426666667,0.8873,42.5886666666667,12.3893013333333,0.8926
81,45.4045,0.928104575,13.02237867,41.5444,0.928104575,12.13924,38.7823333333333,16.6129013333333,0.9567,45.8473333333333,15.3740986666667,0.9524
82,44.3297,0.913207547,11.903912,39.7528,0.913207547,11.23973867,37.8446666666667,12.6143893333333,0.9142,45.6203333333333,14.033424,0.9142
83,42.7667,0.828947368,10.76905067,37.8889,0.828947368,11.330112,37.8763333333333,13.5467413333333,0.9237,43.707,13.476176,0.9237
84,43.5169,0.819047619,11.389632,38.4889,0.819047619,13.22771733,37.4776666666667,13.069904,0.9369,44.8593333333333,13.2277626666667,0.9369
85,44.4333,0.961832061,14.47618933,40.3333,0.961832061,15.09755733,37.229,11.9455626666667,0.9242,44.6106666666667,12.472,0.9231
86,45.6111,0.873015873,15.53519733,41.2778,0.873015873,16.017808,37.1033333333333,10.9610213333333,0.8432,42.443,11.2782133333333,0.8409
87,46.8222,0.931506849,16.47113867,42.1333,0.931506849,13.90880533,38.409,11.815552,0.7925,42.613,11.536208,0.7925
88,44.022,0.743801653,13.258456,39.9775,0.743801653,13.906432,40.8526666666667,14.738072,0.9457,44.111,13.5108186666667,0.944
89,43.5667,0.896551724,13.521928,40.0333,0.896551724,12.39655733,39.3483333333333,15.922544,0.8788,46.2163333333333,15.4436453333333,0.8824
90,42.5444,0.922155689,11.883752,38.6,0.922155689,10.636432,39.164,16.2663013333333,0.9275,47.1553333333333,16.186136,0.9296
91,43.7889,0.921212121,9.965528,38.4333,0.921212121,9.664816,38.015,13.169416,0.7717,45.6443333333333,14.0976373333333,0.7642
92,41.8,0.978947368,9.074088,37.1573,0.978947368,10.56316,40.0966666666667,13.669168,0.8966,44.3653333333333,13.7830426666667,0.8966
93,43.6154,0.933333333,11.55581067,38.8556,0.933333333,11.67397867,39.128,11.8801386666667,0.9167,43.3503333333333,12.3429973333333,0.9146
94,43.3483,0.923076923,12.426456,39.1011,0.923076923,14.147232,37.441,9.818448,0.9212,42.559,10.5963306666667,0.9231
95,45.7253,0.93989071,15.43173333,40.9778,0.93989071,13.721624,36.4666666666667,9.30538133333333,0.9741,40.9423333333333,9.6118,0.9746
96,43.8444,0.981818182,13.183056,39.5667,0.981818182,13.87106933,37.0086666666667,11.7357653333333,0.9359,41.4256666666667,10.9416586666667,0.9342
97,44.1685,0.933333333,13.57751467,40.5667,0.933333333,13.44198133,38.0076666666667,12.8656293333333,0.9211,43.122,12.5135706666667,0.9211
98,44.2198,0.944444444,13.72450667,39.8652,0.944444444,14.43177067,38.43,16.000128,0.9418,44.9443333333333,14.589472,0.9392
99,45.8901,0.867256637,15.53324267,41.3483,0.867256637,14.98238133,37.8916666666667,12.9139386666667,0.9813,45.6443333333333,13.9356693333333,0.982
100,45.2889,0.845238095,15.68652,41.1124,0.845238095,15.34457333,38.0276666666667,13.7857973333333,0.9357,44.668,13.703968,0.9357
101,46.3409,0.875502008,14.47200533,42.6444,0.875502008,14.63505333,37.8353333333333,13.9071386666667,0.9474,45.2206666666667,13.7760186666667,0.9444
102,44.5275,0.951008646,14.14342933,42.1778,0.951008646,12.99983733,38.764,15.59392,0.8624,45.7223333333333,15.0150053333333,0.8673
103,43.3444,0.96875,12.46221067,40.4,0.96875,12.766232,38.511,15.5505653333333,0.8452,46.551,15.7897013333333,0.8506
104,43.8,0.971608833,12.877976,40.7753,0.971608833,12.705976,39.7313333333333,15.3104986666667,0.8812,47.3903333333333,15.3948906666667,0.8784
105,43.4944,0.958448754,12.83362667,40.0667,0.958448754,13.173488,37.5183333333333,14.0211813333333,0.9516,46.0326666666667,14.2563866666667,0.9516
106,43.8111,0.926267281,12.91538133,40.8352,0.926267281,13.87403467,37.4223333333333,12.070384,0.968,43.6666666666667,12.7361786666667,0.9695
107,44.9011,0.919282511,14.60201067,41.0889,0.919282511,13.51842933,38.1226666666667,13.266592,0.9721,43.5216666666667,12.9273493333333,0.9711
108,44.4667,0.96373057,13.88064533,41.3182,0.96373057,14.41453867,37.4463333333333,12.9686346666667,0.9568,44.1986666666667,13.0656693333333,0.9568
109,44.4157,0.902723735,14.18448267,41.9556,0.902723735,13.31790667,37.1,13.2743066666667,0.9144,43.9446666666667,13.1252213333333,0.9144
110,43.6556,0.930875576,13.181624,41.2778,0.930875576,14.44052267,37.6313333333333,14.8084986666667,0.9339,44.903,14.5714826666667,0.9339
111,46.1778,0.916408669,14.74956267,42.5843,0.916408669,14.454528,37.114,14.1958213333333,0.9468,45.0443333333333,14.07236,0.9468
112,44.8889,0.901840491,15.19873867,41.1573,0.901840491,14.867352,37.511,14.194872,0.915,44.8536666666667,14.256928,0.9127
113,44.9889,0.909090909,14.646672,40.9,0.909090909,13.17713333,38.422,13.7448266666667,0.9395,45.423,13.9651813333333,0.9429
114,43.3333,0.892561984,12.88100267,39.5618,0.892561984,12.638464,38.7526666666667,15.5044826666667,0.9111,46.0763333333333,14.61736,0.9111
115,43.1556,0.915384615,11.546352,38.0444,0.915384615,10.81544267,37.4,14.2888533333333,0.899,45.4753333333333,14.901568,0.901
116,43.0337,0.818181818,10.144376,37.9888,0.818181818,11.65164533,37.4886666666667,14.94324,0.9187,45.6223333333333,14.767792,0.9161
117,44.1099,0.881118881,12.15098133,38.8202,0.881118881,13.76571467,36.6733333333333,12.516104,0.8827,44.1463333333333,13.4261306666667,0.8825
118,45.7865,0.919786096,15.39738133,40.9222,0.919786096,13.61118933,36.589,10.942928,0.9153,42.572,11.5010906666667,0.9136
119,44.9,0.941176471,14.06053867,40.2584,0.941176471,13.21027733,38.322,10.389752,0.8369,41.8666666666667,10.4589013333333,0.8358
120,43.2667,0.933333333,12.10942667,39.3222,0.933333333,12.79034667,37.9716666666667,14.14984,0.8774,42.984,12.9338026666667,0.8774
121,45.2333,0.970238095,12.405056,40.8539,0.970238095,12.050896,38.1546666666667,15.3336293333333,0.9222,45.3333333333333,14.65228,0.9222
