"time","js.latency","js.accuracy","js.throughput","jet.latency","jet.accuracy","jet.throughput","aws.latency","aws.throughput","aws.accuracy","tcp.latency","tcp.throughput","tcp.accuracy","udp.throughput","udp.latency","udp.accuracy"
48,46.3596,0.806671721,12.96907733,56.0889,0.848351648,12.747392,39.6,11.3262613333333,0.9138,69.4333333333333,12.1722933333333,0.91,13789.50992,33,0.898798906
49,46.6703,0.865177833,13.66292533,52.0444,0.859594384,12.022848,40,11.501008,0.9085,69.894,12.7315706666667,0.9091,13789.50992,33,0.898798906
50,46.0333,0.87431694,12.46881333,48.5111,0.885159011,11.34508533,38.0556666666667,12.0329013333333,0.9336,70.088,13.2084026666667,0.9316,12370.42552,33,0.881222707
51,49.2333,0.893280632,13.586848,49.5444,0.91048202,11.62423733,36.6,12.3682,0.8838,70.6333333333333,12.4923306666667,0.8838,12370.42552,33,0.881222707
52,45.9556,0.846921797,12.40785067,52.3222,0.882123341,12.39567467,37.6333333333333,12.740592,0.9238,71.4,12.5674746666667,0.9238,12370.42552,33,0.881222707
53,46.1236,0.848920863,11.515424,51.2667,0.853195164,12.02729067,36.4333333333333,12.22124,0.8822,71.052,12.009632,0.8822,12370.42552,33,0.881222707
54,45.5778,0.898431049,11.27074667,51.8667,0.934306569,12.11468533,37.2333333333333,12.740888,0.9227,71.8073333333333,11.7924346666667,0.9252,12370.42552,33,0.881222707
55,44.8222,0.858784893,11.161792,52.7,0.851098454,11.90630133,37.1666666666667,12.211672,0.9213,67.8333333333333,11.884032,0.9186,12764.97888,33,0.895850692
56,45.1429,0.877850163,11.25448267,51.8111,0.88503937,11.139688,36.1666666666667,11.406608,0.8738,65.709,11.8020346666667,0.8815,12764.97888,33,0.895850692
57,45.5056,0.873239437,10.87002133,51.0444,0.88923802,11.417264,36.5666666666667,11.594672,0.9306,67.8273333333333,12.2473546666667,0.9202,12764.97888,33,0.895850692
58,45.3667,0.899653979,11.32708,57.4556,0.906144497,13.001912,37.2666666666667,12.237616,0.9212,69.5363333333333,12.6670213333333,0.9247,12764.97888,33,0.895850692
59,45.8667,0.882468812,11.52050133,50.4886,0.900831734,11.07037867,37.3666666666667,12.190656,0.8665,69.1666666666667,12.1589093333333,0.8665,12764.97888,33,0.895850692
60,46.4222,0.854689564,11.942808,52.2308,0.897160883,12.13304533,37.2666666666667,12.095416,0.9298,68.9666666666667,12.0664586666667,0.9298,13349.91064,33,0.901123596
61,48.3,0.877537656,12.74294667,52.8778,0.877642537,11.841176,37.0333333333333,12.008544,0.9462,67.3,11.6787733333333,0.9462,13349.91064,33,0.901123596
62,45.9326,0.877300614,12.04790133,50.8889,0.90157251,11.80155467,35.7936666666667,11.860992,0.9329,64.4,11.1500506666667,0.9354,13349.91064,33,0.901123596
63,46.1648,0.858858859,12.67397067,50.6593,0.902411022,12.649896,36.1666666666667,11.840872,0.9262,69.2,11.9314106666667,0.9282,13349.91064,33,0.901123596
64,46.2778,0.87144623,12.60015733,52.9674,0.889957907,12.65201067,39.0666666666667,12.97592,0.8971,72.1666666666667,12.4568453333333,0.8945,13349.91064,33,0.901123596
65,46.1556,0.856608479,12.508352,51.4773,0.873703478,12.32481067,36.3,11.451584,0.9174,66.3666666666667,11.5191306666667,0.9187,13415.8424,33,0.911306866
66,46.0778,0.875,13.09445067,53.3444,0.886322188,12.89274933,36.5666666666667,11.734256,0.9426,67.4636666666667,12.1936186666667,0.9398,13415.8424,33,0.911306866
67,46.4,0.876136364,13.41262667,53.5761,0.911877395,13.45934667,36.6333333333333,11.84796,0.9228,67.4516666666667,12.2760746666667,0.9225,13415.8424,33,0.911306866
68,46.3111,0.847926267,13.536768,58.2889,0.912493121,14.17216,36.5666666666667,11.788088,0.8975,68.0243333333333,12.360576,0.9003,13415.8424,33,0.911306866
69,47.1111,0.857475276,13.81847467,51.3667,0.891032917,13.091688,37.4,12.183336,0.8918,70.1333333333333,12.3320906666667,0.8918,13415.8424,33,0.911306866
70,46.8556,0.867420349,13.76746133,53.1236,0.878695209,12.764408,37.6666666666667,12.6296,0.9192,71.4333333333333,12.6608,0.9192,13809.71184,33,0.901327434
71,49.6556,0.874511991,14.60658667,51,0.908008658,12.68308267,37.9666666666667,12.7232,0.9342,72.0333333333333,12.7878373333333,0.9342,13809.71184,33,0.901327434
72,46.7889,0.904205608,13.634608,51.4556,0.910857143,12.83709067,38.3333333333333,13.761752,0.924,72.7,12.946368,0.919,13809.71184,33,0.901327434
