"time","tcp.throughput","tcp.latency","tcp.accuracy","aws.throughput","aws.latency","aws.accuracy","udp.throughput","udp.latency","udp.accuracy"
540,1250.1925,39.595,0.998299319727891,1258.1375,40.25,0.998299319727891,1341.2525,22.055,0.998639455782313
545,1257.06,39.7175,0.997959183673469,1258.775,40.285,0.998299319727891,1345.6975,22.1425,0.99812925170068
550,1259.4175,39.655,0.989285714285714,1227.015,40.2525,0.98078231292517,1249.345,22.2425,0.980952380952381
555,1257.89,39.7375,0.99812925170068,1253.9275,40.25,0.997959183673469,1043.6125,22.15,0.998299319727891
560,1205.1925,39.69,0.998979591836735,1221.66,40.25,0.998979591836735,1330.2525,22.0475,0.998979591836735
565,1253.8175,39.7225,0.982993197278912,1254.89,40.255,0.982823129251701,1306.7,22.025,0.982823129251701
570,1257.29,39.635,0.99625850340136,1258.67,40.25,0.996598639455782,1376.4825,22.16,0.996428571428571
575,1259.78,39.91,0.996938775510204,1259.49,40.3125,0.997448979591837,1270.0125,22.2325,0.997789115646258
580,1257.67,39.59,0.989625850340136,1258.545,40.3625,0.989455782312925,1323.49,22.27,0.989625850340136
585,1258.395,39.4725,0.981292517006803,1259.2375,40.2575,0.989455782312925,1340.055,22.09,0.981292517006803
590,1258.5,39.5575,0.997108843537415,1258.8325,40.2825,0.996938775510204,1349.3675,22.2475,0.996598639455782
595,1258.9325,39.505,0.980612244897959,1257.825,40.1925,0.980952380952381,1337.1175,22.1875,0.980442176870748
600,1258.985,39.4775,0.997448979591837,1256.38,40.245,0.997448979591837,1361.2975,22.0975,0.997448979591837
605,1258.515,39.4975,0.982312925170068,1255.1625,40.25,0.982312925170068,1326.12,22.0675,0.982312925170068
610,1258.42,39.4775,0.998639455782313,1258.3275,40.25,0.998809523809524,1228.9625,22.055,0.998809523809524
615,1195.7575,39.3975,0.997278911564626,1259.0025,40.2275,0.997278911564626,1363.075,22.105,0.989625850340136
620,1245.505,39.3925,0.989115646258503,1221.64,40.2475,0.988945578231293,1273.45,22.01,0.988945578231293
625,1256.0475,39.3675,0.998469387755102,1253.5625,40.275,0.998639455782313,954.155,22.0675,0.998469387755102
630,1215.9875,39.4775,0.999149659863945,1221.3325,40.2525,0.999149659863945,1300.64,22.0875,0.999149659863945
635,1254.3375,39.45,0.98265306122449,1265.635,40.19,0.982482993197279,1350.4225,21.955,0.982823129251701
640,1380.5375,39.265,0.997108843537415,1220.5425,40.745,0.997108843537415,1330.625,21.9575,0.997108843537415
645,1294.6825,39.25,0.988265306122449,1325.9825,40.6575,0.996768707482993,1260.28,21.9,0.98843537414966
650,1295.985,39.25,0.997619047619048,1239.8,40.5125,0.997619047619048,1306.6625,21.8325,0.997448979591837
