time,tcp.throughput,tcp.latency,tcp.accuracy,ads.throughput,ads.latency,ads.accuracy,udp.throughput,udp.latency,udp.accuracy,jet.throughput,jet.latency,jet.accuracy
160,13568.44083,22.90166667,0.949166667,13476.95917,25.01333333,0.940833333,14331.88832,20,0.699236641,13859.03307,40.38618,0.949166667
165,14553.4825,22.9475,0.9275,14058.31417,21.66666667,0.93,15348.56392,20,0.849774339,13580.42453,39.94862,0.9275
170,11941.1225,22.88833333,0.89,13766.765,21.67416667,0.909166667,13567.06744,20,0.850375505,13927.97653,40.47142,0.89
175,12772.88917,22.89,0.95,13676.34667,21.895,0.91,14014.1828,20,0.907991941,12759.28373,40.22898,0.95
180,14585.28917,22.89416667,0.916666667,14006.92333,21.66916667,0.939166667,15726.96864,20,0.916044776,13047.34827,40.33396,0.916666667
185,12323.20417,22.92,0.91,13768.06667,21.88416667,0.92,13108.39456,20,0.934920635,14010.00427,40.83548,0.91
190,12029.67583,22.8725,0.94,11632.805,21.6675,0.949166667,13199.37744,20,0.918774967,11492.99253,39.51188,0.94
195,12724.11167,70.10916667,0.928333333,13365.42083,42.7825,0.92,12337.16592,20,0.941089838,12932.69387,41.29958,0.928333333
200,7684.410833,2167.419167,0.868333333,7945.113333,376.9233333,0.9,8416.57208,20,0.923503326,12449.56693,40.4667,0.868333333
205,7213.021667,4941.203333,0.899166667,6967.261667,36.03583333,0.834166667,6431.81936,20,0.676549865,7812.4912,580.56912,0.899166667
210,7171.35,7081.893333,0.866666667,5682.25,286.5141667,0.8775,8207.99128,20,0,7116.552,707.4008,0.856061228
215,7173.146667,8690.094167,0.945833333,6270.256667,216.4083333,0.835,8229.29208,20,0,7055.5728,432.16764,0.834310311
220,7172.72,11165.45,0.955,6698.286667,271.0991667,0.920833333,8196.62544,20,0,7078.8704,292.738,0.782789532
225,7173.223333,13623.32917,0.921666667,6628.945,131.5725,0.908333333,8310.1872,20,0,7155.702933,537.8278,0.829616964
230,7173.6,16322.6875,0.8575,6529.953333,98.46833333,0.8675,7329.95456,20,0,7155.9536,1125.774,0.842132557
235,7173.6775,18598.5075,0.960833333,6422.654167,76.69,0.888333333,7412.20032,20,0,4233.856,268.04536,0.678967263
240,7172.305833,20931.505,0.939166667,6781.314167,335.7525,0.9175,8510.45568,20,0,6826.44,359.1772,0.767503473
245,7172.926667,23409.54417,0.9325,6120.871667,52.22416667,0.855,6675.73336,20,0,6783.3328,725.9014,0.835483648
250,7172.763333,25947.38583,0.919166667,5807.5575,100.4791667,0.9175,7417.75816,20,0,5346.530133,483.68,0.651306317
255,7173.141667,28366.88417,0.901666667,6629.1825,163.4633333,0.890833333,7197.40056,20,0,5999.120533,498.2652,0.852886315
260,7172.648333,30288.01167,0.880833333,6562.3525,270.3483333,0.869166667,8590.6508,20,0,6892.642667,296.2532,0.797440307
265,7173.27,32744.8025,0.930833333,5905.694167,55.54583333,0.814166667,6579.5368,20,0,6968.448533,539.032,0.818961909
270,7173.425833,34902.24,0.968333333,6645.775,276.3316667,0.9175,8510.03376,20,0,6982.170667,383.7224,0.853492836
275,7172.895833,37523.08,0.873333333,6899.5675,283.0725,0.835,7882.40632,20,0,7172.690667,892.5996,0.802940128
280,7171.793333,40050.96417,0.929166667,6826.25,210.5658333,0.930833333,8096.23008,20,0,5933.7264,577.424,0.81072825
285,7172.431667,42251.64333,0.915833333,6710.9075,221.4625,0.908333333,7956.35576,20,0,7103.9968,502.7382,0.831181413
290,7173.191667,44151.42833,0.933333333,5956.246667,33.45083333,0.865,7504.56552,20,0,6622.881067,635.2494,0.739533714
295,7172.415,46033.09917,0.938333333,6279.425,44.835,0.904166667,8235.1112,20,0,5707.024533,335.2856,0.696852533
300,7172.105833,48558.1275,0.930833333,6828.940833,165.165,0.909166667,7560.4456,20,0,7137.343467,524.7594,0.842914781
305,7173.360833,50739.895,0.924166667,6117.293333,54.68,0.853333333,6431.12024,20,0.01529052,6514.8848,984.9354,0.642275234
310,7171.86,52851.59667,0.8625,6105.173333,173.6633333,0.923333333,7852.5056,20,0,4325.433067,204.76438,0.833582471
