time,tcp.throughput,tcp.latency,tcp.accuracy,ads.throughput,ads.latency,ads.accuracy,udp.throughput,udp.latency,udp.accuracy,jet.throughput,jet.latency,jet.accuracy
130,12745.33167,20.71583333,0.89,12737.83917,16.7175,0.9,13556.38232,20,0.882860386,12553.9072,52.7022,0.89
135,12396.12667,20.65416667,0.9,12744.05583,16.79,0.9,13570.85936,20,0.898116109,12306.64373,52.75776,0.9
140,12118.65583,20.69916667,0.88,12822.78917,16.7425,0.89,13776.42104,20,0.895171702,12449.04853,52.04316,0.88
145,12313.10917,20.71833333,0.890833333,12680.14167,16.91916667,0.890833333,13580.66384,20,0.896909649,11945.53227,52.08202,0.890833333
150,11909.4275,20.70583333,0.9075,12237.61167,16.87,0.9,12353.69528,20,0.87872122,11854.28587,50.7487,0.9075
155,11590.225,20.74333333,0.863333333,12267.63083,16.8925,0.870833333,12771.34392,20,0.900651194,11941.98987,51.47768,0.863333333
160,11747.38,20.86416667,0.886666667,12170.19167,16.9125,0.9,13579.43872,20,0.903089888,12704.80587,51.81236,0.886666667
165,12719.83833,24.7575,0.89,12044.19167,16.92166667,0.88,13397.5088,20,0.904112923,13025.63627,52.82974,0.89
170,12794.95083,20.83333333,0.901666667,11599.13667,16.955,0.891666667,13571.32072,20,0.901521039,13047.44533,54.2911,0.901666667
175,13138.66,20.85833333,0.89,11981.11333,16.90916667,0.86,13929.36296,20,0.865768583,12891.8336,53.48222,0.89
180,12766.2675,20.83416667,0.89,12780.2075,16.89333333,0.9,13482.05032,20,0.885904525,12531.25813,52.34506,0.89
185,12354.87583,20.83666667,0.9,12780.82,16.915,0.9,13657.4448,20,0.907108032,12412.1616,53.13454,0.9
190,12149.9075,20.85583333,0.88,12954.43917,16.8825,0.89,13755.2868,20,0.894074938,12428.71733,52.26724,0.88
195,12336.26,30.72666667,0.890833333,12738.04583,16.84,0.890833333,12539.30024,20,0.899399929,11881.68053,51.16652,0.890833333
200,7763.443333,1734.275833,0.908333333,8113.81,855.24,0.903333333,6688.60288,20,0.87133984,9493.141333,295.7948,0.908333333
205,7221.181667,3766.624167,0.875,5486.971667,17.88833333,0.86,7363.52952,20,0.621988257,7111.650667,754.194,0.875
210,7175.951667,5676.7425,0.863333333,4967.224167,52.85666667,0.856666667,7752.43216,20,0.160796697,4422.715733,603.6936,0.842726667
215,7173.146667,7592.564167,0.934166667,5836.193333,186.4841667,0.8575,7355.55208,20,0.085900607,5840.8608,618.7274,0.83368
220,7172.2975,9565.449167,0.835,6700.926667,480.785,0.795,7710.3828,20,0.0039491,3951.3584,582.97062,0.8142
225,7172.361667,11719.51083,0.893333333,6677.595,349.3741667,0.811666667,7621.20264,20,0.000472701,6270.938133,561.1514,0.832
230,7172.808333,13944.53083,0.895,6093.51,426.5375,0.8725,7592.39856,20,0.031547105,5009.909867,485.4894,0.83648
235,7172.374167,16144.47167,0.905833333,5413.0025,49.08416667,0.8925,7497.8428,20,0.007097592,5061.7472,681.3862,0.805946667
240,7172.4425,18339.68083,0.895833333,5137.890833,72.04583333,0.876666667,7742.24792,20,0.003142184,5100.582933,469.1302,0.816806667
245,7172.6775,20575.79167,0.9,5523.095,106.275,0.856666667,7227.88928,20,0,5249.674667,556.5444,0.8341
250,7172.709167,22756.35833,0.875,6133.546667,385.78,0.856666667,7087.84576,20,0.004710038,7107.744,928.7554,0.7943
255,7173.113333,24943.30417,0.899166667,6362.794167,375.6558333,0.856666667,7464.55744,20,0.026258206,4829.439467,534.6138,0.84298
260,7171.155,27082.9325,0.905,6166.034167,462.6516667,0.855833333,7567.50072,20,0.008613728,4806.170133,525.8362,0.8199
265,7172.040833,29150.42917,0.9,6133.9375,365.5575,0.856666667,7228.93768,20,0.001934704,5332.2352,658.3152,0.82784
270,7169.140833,31187.10333,0.874166667,5354.670833,128.875,0.8225,7743.77912,20,0,4737.310933,376.9431,0.842573333
275,7176.3475,33265.27583,0.880833333,5287.476667,50.84416667,0.821666667,7499.45512,20,0.002860548,4115.914133,575.45624,0.821733333
280,7173.353333,35401.00917,0.89,5244.943333,106.3316667,0.864166667,7763.7212,20,0.044709389,6335.0432,651.3488,0.824713333
285,7172.875,37356.72167,0.905833333,5261.749167,46.9275,0.880833333,7720.9432,20,0.001540832,5881.661333,715.1446,0.83256
290,7172.626667,39348.72583,0.889166667,5259.753333,81.97916667,0.874166667,7882.0676,20,0.002101392,4600.213333,582.0796,0.81866
295,7174.209167,41324.0475,0.845833333,5460.160833,185.2058333,0.855833333,6972.34472,20,0.000474158,6230.4352,762.676,0.80006
300,7172.95,43194.24917,0.935,5631.8225,166.7225,0.850833333,7092.58784,20,0.00637866,3450.261333,337.93406,0.83676
305,7172.546667,45134.49417,0.851666667,6229.4575,230.1491667,0.844166667,7495.1628,20,0.004013378,6811.205867,815.2806,0.800253333
310,7172.474167,47275.86083,0.884166667,6535.636667,486.2916667,0.855833333,7581.64096,20,0.008333333,3565.187733,449.4396,0.83544
315,7172.285,49496.7075,0.891666667,6354.721667,417.755,0.8575,7749.16512,20,0.00999524,6708.034667,835.785,0.790526667
320,7173.254167,51701.81,0.91,5810.540833,198.4891667,0.83,7442.81776,20,0.003472976,4735.609067,646.3764,0.8244
325,7174.026667,53890.90167,0.895833333,5423.325833,215.8725,0.829166667,7608.51608,20,0.001430274,4393.9088,389.6836,0.842333333
330,7173.738333,56115.11917,0.905833333,5417.893333,88.995,0.868333333,7603.97808,20,0.006882312,5508.861867,557.676,0.83452
335,7172.953333,58322.61917,0.87,5402.105833,132.2316667,0.885,7712.48864,20,0.002606882,4839.6032,634.326,0.78854
340,7169.7275,60507.80667,0.9,5664.495833,260.8583333,0.875,7461.3288,20,0.003135615,5397.4224,542.782,0.826546667
345,7171.006667,62664.3025,0.9025,5574.134167,163.0133333,0.854166667,6704.92112,20,0,4318.068267,459.4578,0.823846667
350,7172.676667,64746.57667,0.901666667,5401.610833,148.6558333,0.849166667,7180.7444,20,0.008153757,5016.6864,594.5314,0.83662
355,7171.720833,66791.78667,0.88,5027.260833,95.09833333,0.845,7619.15616,20,0.081529379,4553.770133,397.495,0.83592
360,7172.980833,68853.87667,0.875,4986.3175,26.2075,0.855833333,7346.802,20,0.016460905,6923.8848,871.209,0.822046667
365,7173.150833,70992.0725,0.893333333,5104.736667,61.4725,0.854166667,7611.13752,20,0.01097852,4433.760533,409.0462,0.812146667
370,7171.04,72999.63083,0.908333333,5015.303333,74.12416667,0.8325,7206.24168,20,0,5971.0144,891.524,0.820026667
375,7151.926667,74940.03667,0.899166667,5027.490833,87.58583333,0.834166667,5582.56696,20,0,4781.120533,445.1962,0.82418
380,5050.121667,77769.8775,0.841666667,4797.791667,263.3675,0.874166667,5601.00184,20,0.083531275,4594.269867,745.7006,0.811653333
385,4803.296667,80675.7325,0.865,4784.989167,568.3491667,0.880833333,5899.04696,20,0.003568697,3931.378133,890.3622,0.821646667
390,4784.256667,83624.6225,0.935,4269.3,504.6108333,0.860833333,5317.63896,20,0.001553197,3317.4448,818.7894,0.797373333
395,4782.07,86571.61833,0.9025,4356.650833,341.8741667,0.85,5308.10544,20,0.006110458,3446.419733,686.3124,0.8088
400,4782.205,89547.31167,0.825,4493.41,409.9058333,0.850833333,5416.12824,20,0.006922411,3256.143467,642.0404,0.814066667
405,4781.643333,92624.50333,0.88,4123.55,157.8025,0.844166667,5492.24512,20,0.091304348,3559.1808,813.0272,0.798973333
410,4781.643333,95788.48917,0.899166667,4268.678333,230.5716667,0.8575,5691.77832,20,0.078431373,3167.265067,481.1194,0.815533333
415,4782.1425,98844.45667,0.895833333,4305.604167,174.9758333,0.866666667,5912.01944,20,0.044227089,3597.5072,742.6704,0.816333333
420,4782.973333,102072.2883,0.914166667,3752.246667,205.5958333,0.8625,5694.85312,20,0.03064861,3569.083733,785.164,0.807186667
425,4782.036667,105176.3825,0.9,3625.8375,96.65416667,0.858333333,5816.78136,20,0.037633285,3657.6992,653.1886,0.81772
430,4781.450833,108280.7333,0.8875,3984.159167,129.3083333,0.855,10635.25544,20,0.031888951,2977.896533,587.9234,0.815926667
435,5187.310833,111459.3067,0.914166667,4295.13,224.8558333,0.853333333,13806.77384,20,0.008804449,4367.361067,1001.8448,0.79042
440,21564.93667,107839.4033,0.89,4902.004167,24.485,0.859166667,12484.82944,20,0.014177215,4813.064,327.2176,0.8594
445,23768.80833,103211.3475,0.89,5338.96,27.2225,0.846666667,12525.57608,20,0.44,11731.50827,53.74912,0.865
450,23878.0225,98340.44333,0.890833333,5408.221667,27.61833333,0.854166667,13553.52424,20,0.702529391,11706.9216,52.15806,0.890833333
455,23887.245,93204.96,0.883333333,5543.506667,28.84666667,0.8525,13544.49776,20,0.895522388,11872.85067,52.16218,0.883333333
460,23894.89417,88881.77667,0.9,5957.438333,32.84666667,0.864166667,13558.01224,20,0.903108881,12524.22347,51.26292,0.9
465,23897.50333,84561.1575,0.89,6714.764167,35.375,0.851666667,13601.4392,20,0.900350284,13128.3984,52.50034,0.89
470,23894.45833,79799.93083,0.890833333,7208.063333,36.19916667,0.839166667,13748.38744,20,0.88465352,12894.50773,51.90944,0.890833333
475,23900.10167,74914.34833,0.899166667,7986.251667,36.00666667,0.8375,13599.46544,20,0.880760438,12925.28,52.1711,0.899166667
480,23899.9225,69752.49667,0.876666667,8553.7225,46.98083333,0.859166667,13795.70008,20,0.887226567,12552.12427,52.1127,0.876666667
485,23898.23917,65411.845,0.898333333,9432.010833,37.4875,0.868333333,13578.49744,20,0.908832277,12459.40853,51.43526,0.898333333
490,23898.705,61085.80417,0.89,10559.26417,25.2575,0.86,12346.34824,20,0.885446498,12270.41973,51.0857,0.89
495,23903.0675,56379.83917,0.893333333,11449.94667,29.86083333,0.8725,12796.42168,20,0.892340526,12172.48107,50.4342,0.893333333
500,23905.31,51519.285,0.894166667,11794.86083,21.20666667,0.885,13551.65224,20,0.869382864,11678.82933,50.43292,0.894166667
505,23900.07417,46346.83583,0.885,12073.15667,21.01416667,0.890833333,13419.55128,20,0.899094871,11869.0272,51.36902,0.885
510,23893.43,41922.5075,0.8875,12306.42583,18.57166667,0.89,13576.49256,20,0.90358588,12680.3088,50.91776,0.8875
515,23896.9425,37607.81667,0.890833333,12447.28083,20.58833333,0.8875,13809.34576,20,0.911100432,13019.29173,52.5743,0.890833333
520,23902.895,32978.95083,0.9,12294.50167,16.03083333,0.890833333,13537.9204,20,0.902592388,12996.96107,51.32222,0.9
525,23871.8225,28180.84667,0.89,12284.4275,15.9975,0.8875,13789.02072,20,0.892536241,12928.8672,52.14668,0.89
530,23863.61083,23006.60167,0.890833333,12336.43417,16.01083333,0.89,13549.82056,20,0.887226567,12577.72853,52.0129,0.890833333
535,23871.2925,18467.415,0.880833333,12093.01,15.945,0.8925,13543.21696,20,0.908832277,12372.83947,51.51556,0.880833333
540,23838.77583,14173.35167,0.895,12147.375,15.9975,0.883333333,12386.96768,20,0.883605487,12358.6448,50.92986,0.895
545,23870.85833,9639.774167,0.899166667,12381.60417,16.06416667,0.888333333,12793.39576,20,0.853542151,12096.26293,50.3356,0.899166667
550,23848.265,4895.5675,0.884166667,12502.92417,16.10666667,0.893333333,13544.5124,20,0.82157805,11826.16053,50.07932,0.884166667
555,22916.06417,282.6491667,0.883333333,12576.51667,17.1175,0.8925,13415.09976,20,0.899094871,11886.14773,50.2,0.883333333
