time,js.latency,js.accuracy,js.throughput,jet.latency,jet.accuracy,jet.throughput
121,45.2333,0.9702380952,12.405056,40.8539,0.9702380952,12.050896
122,43.6778,0.975,12.33504,38.5889,0.975,12.77771467
123,43.9333,0.9621212121,13.3446,40.7159,0.9621212121,13.10036
124,44.5778,0.8820960699,13.48192533,39.7,0.8820960699,15.45826667
125,46.9889,0.8057553957,16.61438667,42.1011,0.8057553957,13.675248
126,44.0667,0.9230769231,14.03996267,40.0787,0.9230769231,15.59419467
127,45.5444,0.932038835,14.97117867,41.7,0.932038835,13.68421067
128,44.2556,0.9347826087,13.93085867,40.8652,0.9347826087,13.98867733
129,43.8111,0.9115646259,13.44744267,39.8222,0.9115646259,12.83903467
130,43.1111,0.9084507042,12.24737867,39,0.9084507042,11.72376267
131,43.9556,0.8510638298,10.83941067,39.2,0.8510638298,12.03092533
132,43.4889,0.9106382979,12.00306133,38.4111,0.9106382979,11.160424
133,42.7444,0.960960961,11.31023467,38.4,0.960960961,11.66187733
134,42.9556,0.9792284866,11.44480533,38.0889,0.9792284866,10.803296
135,42.8889,0.9747292419,10.833648,37.6629,0.9747292419,11.059552
136,43.0562,0.9012345679,10.846712,38.1348,0.9012345679,12.44837333
137,44.1667,0.9021276596,13.32410933,39.2921,0.9021276596,14.21603733
138,46.1,0.9485714286,15.93164533,41.4222,0.9485714286,12.87061067
139,44.0111,0.9174311927,12.747152,39.3111,0.9174311927,14.168048
140,43.4667,0.9261083744,13.38358933,40.0556,0.9261083744,13.06731733
141,45.5667,0.9281045752,13.17285333,41.0111,0.9281045752,12.483664
142,43.4022,0.9132075472,12.061672,38.5165,0.9132075472,11.591328
143,43.4944,0.8289473684,10.704296,38.2111,0.8289473684,11.61672267
144,43.3407,0.819047619,11.54485333,38.5,0.819047619,13.34379467
145,45,0.9618320611,14.360992,40.3556,0.9618320611,13.91117333
146,45.4778,0.873015873,15.52716,41.0787,0.873015873,15.77940533
147,45.9222,0.9315068493,16.41043467,41.7778,0.9315068493,13.87354133
148,43.8444,0.7438016529,13.23505333,39.9333,0.7438016529,14.354472
149,44.3111,0.8965517241,13.44192,40.3556,0.8965517241,12.15492533
150,42.618,0.9221556886,11.812544,39.046,0.9221556886,11.32467467
151,43.0549,0.9212121212,10.12058133,38.8913,0.9212121212,10.084448
152,42.967,0.9789473684,9.162517333,36.9333,0.9789473684,10.968272
153,43.3667,0.9333333333,11.41192267,38.6629,0.9333333333,11.57192267
154,43.1333,0.9230769231,12.59758133,39.1319,0.9230769231,13.80863467
155,45.4222,0.9398907104,15.17576533,41.4889,0.9398907104,12.87427733
156,43.4333,0.9818181818,13.22852,39.4,0.9818181818,13.94177067
157,44.2584,0.9333333333,13.55800533,40.3146,0.9333333333,13.51215467
158,44.5714,0.9444444444,13.74299467,40.0112,0.9444444444,15.15600267
159,45.3667,0.8672566372,15.37760533,41.7065,0.8672566372,14.61289867
160,45.3371,0.8452380952,15.47339733,41.1818,0.8452380952,14.810344
161,46.0667,0.875502008,14.85624,42.3111,0.875502008,14.934896
162,44.044,0.9510086455,14.19445333,40.6087,0.9510086455,13.26327467
163,43.4615,0.96875,12.62419733,39.3222,0.96875,13.356472
164,43.8111,0.9716088328,12.855872,39.8333,0.9716088328,12.93017867
165,43.9111,0.9584487535,13.044064,39.8556,0.9584487535,12.65735733
166,44.3034,0.9262672811,12.72285333,39.2022,0.9262672811,14.23970667
167,44.9111,0.9192825112,14.47736,40.4505,0.9192825112,13.13349867
168,44.1319,0.9637305699,14.00233333,39.4091,0.9637305699,14.47264
169,44.9438,0.9027237354,14.13705067,40.6813,0.9027237354,13.39892
170,44.5556,0.930875576,13.51553333,40,0.930875576,14.38591733
171,46.1099,0.9164086687,14.69825067,41.6889,0.9164086687,14.474936
172,45.0889,0.9018404908,15.13296533,41.3222,0.9018404908,14.45071733
173,45.2778,0.9090909091,14.609552,41.2222,0.9090909091,14.03035733
174,43.5889,0.8925619835,12.85014933,39.8571,0.8925619835,12.29795467
175,43.2333,0.9153846154,11.49438133,38.2667,0.9153846154,11.45302133
176,42.8111,0.8181818182,10.32357867,38.4778,0.8181818182,12.102976
177,44.1667,0.8811188811,12.19709067,39.0449,0.8811188811,13.71791467
178,45.5556,0.9197860963,15.44837333,41.0222,0.9197860963,13.05991467
179,44.2778,0.9411764706,14.02623733,41.1778,0.9411764706,13.462592
180,43.8876,0.9333333333,12.27704533,41.4222,0.9333333333,12.18894133
181,44.5556,0.9702380952,12.08434933,40.3077,0.9702380952,11.64855467
182,44.0769,0.975,12.47722667,38.2697,0.975,12.96373333
183,44.3333,0.9621212121,13.33,40.6111,0.9621212121,13.15082933
184,44.4494,0.8820960699,13.50645867,40.3146,0.8820960699,15.28468267
185,46.5667,0.8057553957,16.500152,42.1667,0.8057553957,13.75710133
186,44.3889,0.9230769231,14.04681867,40.0889,0.9230769231,15.13015733
187,45.5667,0.932038835,14.962768,42.4607,0.932038835,14.23496533
188,44.0225,0.9347826087,13.69937867,40.9111,0.9347826087,13.89233333
189,43.9444,0.9115646259,13.46116267,40.4945,0.9115646259,13.035464
190,43.5055,0.9084507042,12.516992,40.2222,0.9084507042,11.56820533
191,43.0667,0.8510638298,10.80108533,39.3483,0.8510638298,12.16717067
192,43.4286,0.9106382979,12.029704,39.1333,0.9106382979,11.332312
193,42.9121,0.960960961,11.49394133,39.5556,0.960960961,11.42078933
194,42.5618,0.9792284866,11.24246667,40.0333,0.9792284866,10.97648533
195,42.2667,0.9747292419,10.83724267,39.4889,0.9747292419,11.369712
196,43.7222,0.9012345679,11.11385333,39.6889,0.9012345679,12.45591733
197,44.2444,0.9021276596,13.37958667,40.9438,0.9021276596,14.06113067
198,46.1222,0.9485714286,15.81085067,42.3556,0.9485714286,12.551496
199,43.4778,0.9174311927,12.81256267,40.8652,0.9174311927,14.22521333
200,44.573,0.9261083744,13.40269067,42.6444,0.9261083744,13.26179467
201,44.6778,0.9281045752,13.02248267,41.1333,0.9281045752,12.274928
202,43.4778,0.9132075472,11.74492533,39.6154,0.9132075472,11.74641333
203,43.4615,0.8289473684,10.890872,38.9556,0.8289473684,11.59829867
204,43.6404,0.819047619,11.39613333,40.7865,0.819047619,13.3664
205,142.787,0.962406015,9.514712,41.8427,0.9618320611,10.35528
206,541.644,0.8955223881,7.083056,92.8696,0.8818897638,7.143154667
207,891.532,0.9054054054,7.151946667,420.492,0.904109589,7.093717333
208,1091.64,0.7154471545,6.963397333,750.138,0.7438016529,7.369074667
209,1186.66,0.9122807018,7.503378667,934.686,0.8727272727,7.101229333
210,1296.17,0.7108433735,7.060498667,704.66,0.8862275449,7.129688
211,1404.04,0.8121212121,7.101538667,625.511,0.8957055215,6.915546667
212,1300.89,0.9392265193,7.436741333,678.289,0.9111111111,7.197578667
213,1077.5,0.9452054795,7.046208,648.737,0.9395973154,7.216938667
214,1219.78,0.8421052632,7.044437333,844.233,0.9536423841,7.123008
215,1359.85,0.9411764706,7.223957333,740.234,0.9120879121,7.202178667
216,1380.96,0.963963964,7.216930667,771.56,0.9680365297,7.239728
217,1533.59,0.8625,7.087213333,717.832,0.8758169935,7.120026667
218,1503.08,0.9189189189,7.369192,383.719,0.9565217391,7.203282667
219,1525.41,0.8214285714,7.039024,205.696,0.7428571429,6.512648
220,1512.18,0.7926829268,7.151616,82.0312,0.7484662577,6.759938667
221,1527.21,0.8395061728,6.868701333,100.253,0.820083682,7.00108
222,1717.91,0.8850574713,7.358469333,181.961,0.9537572254,7.167112
223,1834.91,0.9534883721,7.185226667,404.211,0.9725490196,7.263178667
224,1837.32,0.91875,7.14416,477.592,0.9567901235,7.203042667
225,1869.8,0.9204545455,7.201072,299.673,0.9602272727,6.971573333
226,1792.97,0.9006928406,7.183578667,236.457,0.9259259259,7.269416
227,1844.05,0.8623853211,7.248893333,438.328,0.9303370787,7.150056
228,1790.25,0.8291457286,7.249264,650.614,0.9375,7.151165333
229,1920.34,0.6795366795,7.100197333,609.785,0.8888888889,7.236304
230,1951.55,0.882629108,7.162330667,753.955,0.9351851852,7.132314667
231,1853.49,0.7232704403,7.13644,1002.01,0.8978328173,7.288824
232,1853.04,0.7636363636,7.190408,1069.82,0.8902821317,7.062565333
233,1949.22,0.8401486989,7.092650667,1087.18,0.9051094891,7.204936
234,1983.16,0.7450980392,7.088293333,1284.04,0.7368421053,7.091128
235,1946.21,0.8185328185,7.181309333,1185.82,0.6744186047,4.607498667
236,1918,0.7368421053,7.271237333,508.278,0.2340425532,3.852058667
237,1773.1,0.843537415,7.238565333,428.388,0.6046511628,3.445442667
238,1596.02,0.8241758242,7.214018667,96.1098,0.8586956522,4.35476
239,1518.94,0.9214659686,7.018005333,154.078,0.9587628866,4.90952
240,1597.38,0.8333333333,7.100125333,153.373,0.9086021505,6.442805333
241,1629.15,0.9365558912,7.293314667,230.024,0.9614243323,6.703141333
242,1518.43,0.9556962025,7.291885333,307.188,0.9712460064,6.661264
243,1606.55,0.8754448399,6.99908,256.695,0.9621212121,7.14276
244,1575.17,0.850877193,7.36248,412.361,0.8571428571,7.182229333
245,1483.32,0.7517730496,7.199914667,589.618,0.8322147651,7.060562667
246,1533.32,0.8953974895,7.130816,701.807,0.9356223176,7.277136
247,1690.94,0.8025477707,6.773448,809.872,0.917721519,7.122624
248,1730.02,0.75,7.641037333,764.31,0.8112676056,7.112936
249,1917.46,0.8037974684,7.016794667,812.146,0.5409836066,5.343405333
250,1918.48,0.7602739726,7.095618667,541.372,0.5034965035,5.029306667
251,1892.99,0.6474820144,7.182629333,396.289,0.5322580645,5.633906667
252,1931.38,0.8425531915,7.113405333,525.521,0.7671232877,6.323834667
253,1747.34,0.8814589666,7.337197333,793.931,0.9390243902,4.483234667
254,1638.56,0.8928571429,7.081946667,398.03,0.960960961,5.262368
255,1502.68,0.9677419355,7.200165333,304.629,0.9677419355,5.509813333
256,1345.68,0.864516129,7.283026667,314.165,0.9012345679,5.427157333
257,1352.67,0.7854077253,7.180498667,393.432,0.9010526316,5.770181333
258,1603.53,0.8529411765,7.004930667,538.895,0.9087452471,6.423730667
259,1737.13,0.7829977629,7.319178667,705.216,0.8406466513,6.86472
260,1728.13,0.8542713568,7.189973333,539.618,0.793814433,6.730069333
261,1686.49,0.8305647841,7.081704,183.179,0.9266666667,7.293301333
262,1749.09,0.9185185185,7.121074667,321.651,0.9259259259,6.943637333
263,1766.85,0.7,7.220269333,255.619,0.8387096774,6.306832
264,1687.07,0.7961165049,7.283432,231.727,0.8,7.189373333
265,1395.25,0.9552238806,7.116370667,489.09,0.9552238806,7.256138667
266,1434.43,0.873015873,7.168653333,675,0.8923076923,7.134258667
267,1591.22,0.9054054054,7.06112,592.141,0.9324324324,7.204554667
268,1559.97,0.6379310345,7.194,656.744,0.7213114754,7.144717333
269,1716.97,0.8181818182,7.176874667,447.444,0.7184466019,6.102573333
270,1763.25,0.7151515152,7.084842667,323.831,0.8098159509,6.765957333
271,1609.59,0.8395061728,7.361341333,332.077,0.8588957055,6.996304
272,1450.2,0.9565217391,7.050002667,331.931,0.9894736842,6.960624
273,1220.18,0.9333333333,7.248904,247.041,0.940397351,7.118413333
274,1216.78,0.8421052632,7.156981333,459.407,0.9536423841,7.069554667
275,1536.25,0.9081081081,6.98432,548.156,0.9171270718,7.139357333
276,1558.54,0.9553571429,7.325088,800.343,0.9680365297,7.366176
277,1717.93,0.858974359,7.243821333,987.12,0.8758169935,7.064978667
278,1675.6,0.8947368421,7.042413333,912.596,0.9411764706,7.219605333
279,1603.96,0.8035714286,7.241274667,883.891,0.7818181818,7.073336
280,1662.73,0.7547169811,6.98192,879.048,0.8242424242,6.195989333
281,1706.62,0.8606557377,7.073752,640.519,0.775862069,5.039722667
282,1759.91,0.8850574713,7.019605333,395.791,0.9449275362,5.405128
283,1960.46,0.9126984127,7.185989333,527.731,0.968503937,6.155104
284,1870.07,0.9153605016,7.447712,629.153,0.952681388,6.872688
285,1800.35,0.9299719888,7.277850667,693.926,0.9631728045,6.802357333
286,1782.04,0.8744186047,7.003242667,322.5,0.9259259259,7.244490667
287,1787.39,0.8310502283,7.378088,398.143,0.934537246,7.209237333
288,1838.05,0.8826530612,7.100352,679.065,0.9375,7.22552
289,1736.6,0.6744186047,6.799154667,599.495,0.8897637795,7.038378667
290,1784.74,0.9074074074,7.272685333,514.488,0.9302325581,6.879544
291,1802.3,0.79375,7.378285333,631.862,0.9012345679,7.469688
292,1825.43,0.7405247813,6.936178667,638.822,0.8785046729,7.070186667
293,1919.39,0.8401486989,7.270434667,727.28,0.7309236948,6.708802667
294,1938.17,0.7661971831,7.240224,781.685,0.5177993528,4.986184
295,1939.56,0.8494208494,7.053426667,396.598,0.6666666667,4.265037333
296,1872.34,0.7368421053,7.257114667,253.149,0.5309734513,5.303272
297,1852.68,0.8322147651,7.190226667,235.827,0.6216216216,6.122805333
298,1642.78,0.8241758242,7.274042667,390.164,0.9081081081,6.627957333
299,1670.96,0.8934010152,7.025933333,500.208,0.9270833333,6.216050667
300,1698.59,0.8972972973,7.162914667,297.08,0.9135135135,7.103029333
301,1747.76,0.8787878788,7.120757333,298.041,0.9614243323,7.019562667
302,1772.97,0.9278996865,7.096589333,481.893,0.9712460064,7.246752
303,1681,0.9230769231,7.253957333,550.653,0.9581749049,7.124237333
304,1635.41,0.7911111111,7.179672,564.622,0.8571428571,7.193136
305,1641.25,0.7891156463,7.171536,728.588,0.8322147651,7.134802667
306,1635.46,0.8502024291,6.982493333,962.87,0.9356223176,7.154408
307,1800.29,0.8201892744,7.484389333,972.432,0.9038461538,7.23092
308,1891.68,0.75,7.042346667,1000.08,0.8324022346,7.107765333
309,1885.55,0.7896440129,7.131754667,1275.34,0.5409836066,3.946528
310,1903.37,0.5734767025,7.263562667,713.955,0.4701754386,2.983277333
311,1922.64,0.6853146853,7.025301333,505.509,0.5196850394,3.615741333
312,1811.94,0.8438818565,7.223421333,191.876,0.7230046948,4.396808
313,1693.74,0.8528528529,7.088117333,144.545,0.8670886076,4.850058667
314,1529,0.9090909091,7.286901333,121.616,0.9580838323,5.78128
315,1397.38,0.875,7.14352,60.2759,0.964028777,6.2456
316,1385.98,0.8860759494,7.216133333,106.2,0.893081761,6.522037333
317,1552.61,0.8747346072,7.119978667,206.347,0.9021276596,7.019130667
318,1580.71,0.8087431694,7.152810667,294.027,0.5161290323,4.421274667
319,1637.73,0.776523702,7.096466667,324.238,0.3886925795,4.800544
320,1724.8,0.820754717,7.295770667,143.779,0.5,5.214829333
321,1609.14,0.8417508418,7.080437333,255.986,0.7547169811,5.965992
322,1629.14,0.7942238267,7.311496,482.859,0.8549618321,6.372736
323,1576.91,0.8461538462,6.945048,437.485,0.8311688312,7.056370667
324,1464.61,0.691588785,7.512186667,449.803,0.8282828283,7.185024
325,1361.91,0.9230769231,6.783013333,614.364,0.9481481481,5.792170667
326,1313.24,0.8805970149,7.579384,643.986,0.8992248062,4.983562667
327,1478.03,0.9054054054,7.048064,199.343,0.9154929577,4.482064
328,1680.73,0.7692307692,6.933389333,69.5895,0.7438016529,5.485493333
329,1691.87,0.8181818182,7.287109333,62.4023,0.8727272727,6.3474
330,1717.37,0.7590361446,7.355474667,138.747,0.8915662651,6.113698667
331,1638.43,0.8292682927,7.128594667,121.031,0.8915662651,6.357341333
332,1445.55,0.9565217391,7.253349333,114.833,0.9789473684,7.203464
333,1116.16,0.940397351,7.162010667,303.701,0.9290322581,6.83604
334,1172.51,0.8421052632,7.066229333,267.667,0.940397351,6.765589333
335,1330.76,0.9312169312,7.131106667,251,0.9171270718,7.228416
336,1308.42,0.96,7.218285333,455.288,0.9864253394,6.592810667
337,1544.14,0.858974359,7.266106667,616.724,0.9044585987,7.145709333
338,1599.07,0.8918918919,6.752208,675.202,0.9210526316,7.148088
339,1528.39,0.8468468468,7.438856,738.104,0.8761904762,7.155981333
340,1593.05,0.7953216374,7.025098667,968.279,0.8263473054,7.206946667
341,1715.43,0.8032786885,7.210066667,1134.23,0.04511278195,5.377682667
342,1841.28,0.8850574713,6.980850667,792.953,0.4754098361,3.669493333
343,1926.21,0.9448818898,7.407141333,564.254,0.8684210526,3.548872
344,1841.11,0.9153605016,7.092298667,391.129,0.9363057325,4.381818667
345,1775.09,0.9359331476,7.340472,482.023,0.9116809117,5.587437333
346,1822.44,0.8384074941,6.941088,513.333,0.8946135831,7.057061333
347,1808.42,0.8310502283,7.237354667,446.306,0.9213483146,7.195016
348,1721.76,0.8849104859,7.381405333,252.458,0.9430051813,7.015797333
349,1746.49,0.6795366795,6.853810667,377.183,0.8968253968,7.256128
350,1734.09,0.9302325581,7.403746667,558.31,0.9158878505,7.238896
351,1756.83,0.738170347,7.143242667,590.893,0.8978328173,7.186573333
352,1929.58,0.7405247813,6.979168,769.577,0.8888888889,7.073221333
353,1969.06,0.8401486989,7.22844,966,0.8776978417,7.228418667
354,1951.89,0.7576601671,7.27648,975.702,0.7942028986,7.175426667
355,1951.84,0.7782101167,7.216773333,790.723,0.8863636364,7.025504
356,1926.65,0.75,6.971178667,708.574,0.8549618321,7.121874667
357,1758.36,0.7432432432,7.389770667,465.233,0.8133333333,5.478416
358,1541.68,0.8510638298,7.047936,454.898,0.9071038251,5.067786667
359,1454.71,0.9119170984,7.045674667,282.602,0.9405405405,5.378106667
360,1571.05,0.813559322,7.313474667,329.152,0.9272237197,5.734885333
361,1614.27,0.9614243323,7.116122667,291.287,0.954954955,6.376629333
362,1523.83,0.9467084639,7.356666667,378.586,0.9746835443,6.523781333
363,1491.82,0.8754448399,7.120002667,400.034,0.9516728625,6.988472
364,1442.56,0.8355555556,6.982336,453.229,0.8711111111,7.055685333
365,1446.16,0.7517730496,7.320178667,608.836,0.884057971,7.324288
366,1501.01,0.8953974895,7.200938667,733.638,0.8917748918,7.138237333
367,1540.38,0.7612903226,7.177666667,847.468,0.8524590164,7.110248
368,1677.46,0.75,7.007605333,556.614,0.8770949721,7.266032
369,1725.54,0.8172757475,7.151018667,530.094,0.8571428571,7.137312
370,1746.87,0.6618181818,7.279658667,649.354,0.8745519713,7.163176
371,1715.36,0.7769784173,7.239482667,683.815,0.8275862069,7.092992
372,1690.5,0.8284518828,6.994261333,679.262,0.8974358974,7.191968
373,1595.05,0.8848484848,7.222176,964.707,0.9153605016,4.897909333
374,1382.23,0.9520958084,7.175592,565.264,0.553030303,2.767669333
375,1342.27,0.8710801394,7.096378667,57.2421,0.4729064039,3.436490667
376,1344.11,0.8176100629,7.185498667,47.1379,0.5217391304,4.398656
377,1246.26,0.8874458874,7.164517333,118.234,0.7887323944,4.544978667
378,1257.1,0.8246268657,7.104744,195.297,0.8527131783,5.65124
379,1596.22,0.7865168539,7.176896,361.873,0.8705357143,7.0632
380,1609.38,0.898989899,7.320445333,625.923,0.8808290155,7.162757333
381,1546.13,0.8305647841,7.135152,407.552,0.9315960912,7.157442667
382,1640.06,0.8791208791,6.842872,351.63,0.9049429658,7.138597333
383,1541.51,0.75,7.428058667,258.931,0.8051948052,7.085669333
384,1450.29,0.7766990291,7.285738667,308.89,0.8282828283,7.236245333
385,1365.91,0.9481481481,5.124069333,357.314,0.9481481481,5.467693333
386,1564.16,0.873015873,4.837114667,344.564,0.9133858268,4.352632
387,2120.65,0.9054054054,4.890077333,493.419,0.9014084507,4.35248
388,2504.3,0.6168224299,4.747165333,941.838,0.452173913,4.690154667
389,2797.38,0.8181818182,4.556597333,933.812,0.8181818182,4.856264
390,3127.52,0.6941176471,4.988522667,831.849,0.7924528302,4.618970667
391,3446.25,0.8121212121,4.509624,375.139,0.8322981366,4.660962667
392,3658.41,0.9010989011,4.918221333,417.542,0.9111111111,4.816709333
393,3869.16,0.924137931,4.826912,767.016,0.9395973154,4.826933333
394,3985.51,0.8421052632,4.698504,1142.27,0.940397351,4.809885333
395,4002.01,0.9081081081,4.934461333,1151.1,0.9222222222,4.754485333
396,3942.08,0.96,4.646301333,1062.7,0.9351851852,4.794378667
397,3961.05,0.8625,4.634197333,1044.42,0.8227848101,4.739032
398,4135.47,0.9066666667,4.845090667,937.752,0.8450704225,4.716
399,4409.72,0.8,4.625568,807.489,0.7789473684,4.796029333
400,4715.56,0.7484662577,4.884962667,857.085,0.756097561,4.817842667
401,4973.77,0.8032786885,4.644672,1019.53,0.7744680851,4.742256
402,5228.88,0.8850574713,5.170634667,1029.5,0.8630952381,4.841336
403,5463,0.9126984127,4.625064,762.224,0.9477911647,4.639250667
404,5702.29,0.9153605016,4.658234667,591.14,0.952681388,4.836432
405,5996.97,0.9204545455,4.945373333,773.435,0.9602272727,4.399002667
406,6331.78,0.8298368298,4.719176,928.791,0.8936170213,3.353261333
407,6677.7,0.8310502283,4.450136,488.965,0.8873563218,3.755288
408,6976.7,0.8291457286,4.966384,510.849,0.9427083333,3.830376
409,7179.97,0.6795366795,4.739856,496.379,0.9011857708,4.234690667
410,7391.11,0.8571428571,4.792618667,408.652,0.9209302326,4.446213333
411,7569.86,0.7232704403,5.019736,535.848,0.8701298701,4.754845333
412,7799.02,0.7405247813,4.586050667,716.538,0.8481012658,4.900984
413,8084.95,0.8401486989,4.869101333,954.773,0.8814814815,4.731714667
414,8317.18,0.7222222222,4.798208,826.188,0.8690807799,4.554637333
415,8532.43,0.7356321839,4.777437333,695.055,0.749034749,4.506672
416,8809.08,0.6917293233,4.712621333,731.794,0.6393442623,4.425336
417,9078.08,0.7432432432,4.740365333,260.413,0.7320261438,4.905664
418,9324.86,0.8241758242,4.964333333,446.304,0.8913043478,4.735149333
419,9607.67,0.8934010152,4.546077333,828.831,0.9361702128,4.811146667
420,9866.62,0.813559322,4.827514667,808.009,0.8788732394,4.680288
421,10186.7,0.8615384615,4.796874667,537.224,0.9296636086,4.777952
422,10490.3,0.9278996865,4.877234667,597.057,0.9712460064,4.840421333
423,10801.7,0.8754448399,4.619872,879.838,0.9461538462,4.808413333
