hls.throughput,hls.accuracy,hls.latency
6161.888,0.7257700977,2376
6223.552,0.6239600666,2404
6395.008,0.6076696165,2439
6205.504,0.6277372263,2457
6748.448,0.6720183486,2506
6107.744,0.5944206009,2503
6249.12,0.6212121212,2539
6088.192,0.6896551724,2556
5882.144,0.6960167715,2573
5734.752,0.7918215613,2593
9202.976,0.8648648649,2052
9153.344,0.8348700754,2136
9030.016,0.8159645233,2131
9339.84,0.8561549101,2169
9466.176,0.8371161549,2199
9416.544,0.8569562378,2223
9751.936,0.8576779026,2263
9679.744,0.8492983527,2283
9321.792,0.8505603985,2294
9368.416,0.8487131199,2322
9393.984,0.8726807422,2348
9733.888,0.8536726431,2389
9813.6,0.8573072497,2419
10048.224,0.8375451264,2452
10176.064,0.8376161837,2484
10394.144,0.8815060908,2518
10412.192,0.9130434783,2548
10303.904,0.8149580916,2568
10001.6,0.7992151733,2580
10203.136,0.8413524057,2610
10209.152,0.8563015312,2637
10009.12,0.8674443266,2652
10258.784,0.8758577667,2691
10269.312,0.8445859873,2716
10598.688,0.8130783467,2758
10564.096,0.8529945554,2781
10145.984,0.8136729223,2789
9938.432,0.8430682618,2807
10085.824,0.8346127006,2977
10180.576,0.8771483132,2882
10183.584,0.9008379888,2361
9980.544,0.853021978,1897
9989.568,0.8473867596,1917
9824.128,0.8444444444,1935
9812.096,0.7940552017,1960
10000.096,0.8281764319,1998
9902.336,0.8405797101,2018
9541.376,0.8356083086,2027
9679.744,0.8404384896,2062
9664.704,0.8180135719,2085
9736.896,0.8347160179,2118
9818.112,0.8273572377,2144
9994.08,0.7789142408,2178
9718.848,0.8099838969,2190
10182.08,0.8571428571,2238
9658.688,0.852965069,2240
9727.872,0.8044217687,2272
9574.464,0.8075117371,2289
9287.2,0.8581436077,2300
9263.136,0.7918215613,2326
9202.976,0.8648648649,2348
9153.344,0.8348700754,2426
9030.016,0.8159645233,2402
9339.84,0.8561549101,2437
9466.176,0.8371161549,2469
9416.544,0.8569562378,2493
9751.936,0.8576779026,2526
9679.744,0.8492983527,2545
9321.792,0.8505603985,2556
9368.416,0.8487131199,2581
9393.984,0.8726807422,2609
9733.888,0.8536726431,2647
9813.6,0.8573072497,2674
10048.224,0.8375451264,2709
10176.064,0.8376161837,2740
10394.144,0.8815060908,2774
10412.192,0.9130434783,2798
10303.904,0.8149580916,2815
10001.6,0.7992151733,2844
10203.136,0.8413524057,2870
10209.152,0.8563015312,2351
10009.12,0.8674443266,1887
10258.784,0.8758577667,1926
10269.312,0.8445859873,1952
10598.688,0.8130783467,2023
10564.096,0.8529945554,2012
10145.984,0.8136729223,2018
9938.432,0.8430682618,2036
10085.824,0.8346127006,2069
10180.576,0.8771483132,2093
10183.584,0.9008379888,2119
9980.544,0.853021978,2134
9989.568,0.8473867596,2158
9824.128,0.8444444444,2178
9812.096,0.7940552017,2202
10000.096,0.8281764319,2231
9902.336,0.8405797101,2251
9541.376,0.8356083086,2259
9679.744,0.8404384896,2290
9664.704,0.8180135719,2312
9736.896,0.8347160179,2342
9818.112,0.8273572377,2367
9994.08,0.7789142408,2400
9718.848,0.8099838969,2412
10182.08,0.8571428571,2458
9658.688,0.852965069,2464
9727.872,0.8044217687,2487
9574.464,0.8075117371,2504
9287.2,0.8581436077,2514
9263.136,0.7918215613,2541
9202.976,0.8648648649,2559
9153.344,0.8348700754,2583
9030.016,0.8159645233,2663
9339.84,0.8561549101,2679
9466.176,0.8371161549,2709
9416.544,0.8569562378,2733
9751.936,0.8576779026,2771
9679.744,0.8492983527,2793
9321.792,0.8505603985,2822
9368.416,0.8487131199,2832
9393.984,0.8726807422,2275
9733.888,0.8536726431,1880
9813.6,0.8573072497,1910
10048.224,0.8375451264,1945
10176.064,0.8376161837,1977
10394.144,0.8815060908,2012
10412.192,0.9130434783,2041
10303.904,0.8149580916,2064
10001.6,0.7992151733,2078
10203.136,0.8413524057,2110
10209.152,0.8563015312,2138
10009.12,0.8674443266,2156
10258.784,0.8758577667,2190
10269.312,0.8445859873,2217
10598.688,0.8130783467,2259
10564.096,0.8529945554,2279
10145.984,0.8136729223,2287
9938.432,0.8430682618,2299
10085.824,0.8346127006,2332
10180.576,0.8771483132,2360
10183.584,0.9008379888,2383
9980.544,0.853021978,2397
9989.568,0.8473867596,2423
