hls.latency,hls.accuracy,hls.throughput
4064,0.6495726496,4132.992
5556,0.6666666667,7234.24
5144,0.7225806452,3247.136
5302,0.8176100629,3268.192
5469,0.8620689655,3322.336
5750,0.9027777778,4215.712
5739,0.92,3044.096
5270,0.9222222222,3573.504
4820,0.9351851852,3436.64
4829,0.8758169935,3319.328
4756,0.9142857143,2610.944
4726,0.7474747475,2237.952
4805,0.756097561,2635.008
4819,0.7744680851,2534.24
4826,0.9043478261,2424.448
4782,0.9590163934,1940.16
4820,0.9496855346,2013.856
4987,0.9295774648,3029.056
5148,0.8894117647,3982.592
5015,0.8873563218,2868.128
5027,0.9274611399,2786.912
5058,0.859437751,2830.528
5053,0.9259259259,2597.408
5041,0.8701298701,2343.232
5067,0.8481012658,2364.288
5232,0.8664259928,3350.912
5269,0.7942028986,3433.632
5285,0.8517110266,3353.92
5216,0.765625,2699.68
5313,0.7948717949,3218.56
5266,0.8924731183,2690.656
5212,0.9270833333,2132.672
5262,0.8700564972,2316.16
5367,0.9390243902,2890.688
5396,0.9650793651,2920.768
5543,0.9034749035,3794.592
5458,0.8558558559,3035.072
5492,0.8027210884,3078.688
5525,0.8546255507,3119.296
5667,0.8524590164,3954.016
5734,0.8563218391,4244.288
5670,0.8344827586,3626.144
5685,0.8201438849,3534.4
5651,0.7777777778,3150.88
5660,0.8632478632,3053.12
5757,0.9418960245,3508.832
5807,0.9365558912,3642.688
5375,0.9263157895,3851.744
4913,0.8789808917,3538.912
4905,0.8830022075,3319.328
4889,0.8816793893,3039.584
4977,0.8660714286,3481.76
5002,0.8481675393,3501.312
5033,0.8794788274,3558.464
4988,0.8702290076,3045.6
4929,0.84,2471.072
4922,0.7339449541,2227.424
5017,0.9172932331,2740.288
5152,0.9291338583,3534.4
5144,0.9154929577,3316.32
5087,0.6495726496,2716.224
5147,0.6666666667,2971.904
5114,0.7225806452,2576.352
5142,0.8176100629,2591.392
5232,0.8620689655,3074.176
5323,0.9027777778,3538.912
5399,0.92,3663.744
5486,0.9222222222,4132.992
5374,0.9351851852,3170.432
5324,0.8758169935,2628.992
5346,0.9142857143,2601.92
5353,0.7474747475,2453.024
5419,0.756097561,2738.784
5460,0.7744680851,2850.08
